"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","CAN.TBG_USD.JPN.A","OBS_VALUE","Canada","Trade balance goods, US dollar","Japan","Annual","Millions","-1528.604207","-1708.335613","-104.594443","-4545.17234","-5241.657764"
"IMF.STA:IMTS(1.0.0)","CAN.TBG_USD.USA.A","OBS_VALUE","Canada","Trade balance goods, US dollar","United States","Annual","Millions","77719.765892","128534.837556","164663.707382","149027.14985","144199.558831"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.CAN.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Canada","Annual","Millions","270025.523613","357279.450281","436561.525548","421096.201172","412695.719877"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.FRA.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","France","Annual","Millions","28214.674909","30601.639201","47118.024442","45257.658882","44395.68114"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.ITA.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Italy","Annual","Millions","19949.475161","21681.527155","27713.245041","28930.286166","32402.003335"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.ITA.A","OBS_VALUE","United States","Trade balance goods, US dollar","Italy","Annual","Millions","-29498.823242","-39316.179502","-41361.506165","-44012.038312","-43964.484856"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.CAN.A","OBS_VALUE","Italy","Trade balance goods, US dollar","Canada","Annual","Millions","2876.822279","3660.494381","4730.36819","4822.120709","3377.707313"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.JPN.A","OBS_VALUE","United States","Trade balance goods, US dollar","Japan","Annual","Millions","-55476.192175","-60096.649813","-67883.564262","-71175.198577","-68467.721077"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.JPN.A","OBS_VALUE","Italy","Trade balance goods, US dollar","Japan","Annual","Millions","3969.793343","3657.972913","2989.523846","2806.278464","4142.429024"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.USA.A","OBS_VALUE","Italy","Trade balance goods, US dollar","United States","Annual","Millions","31703.086673","39590.197732","42162.076639","45377.306613","42055.031057"
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.GBR.A","OBS_VALUE","Italy","Trade balance goods, US dollar","United Kingdom","Annual","Millions","15737.917562","18150.53111","20052.021695","18698.921442","20943.671494"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.JPN.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Japan","Annual","Millions","64030.307995","74735.887762","80180.396565","76165.16229","79740.845546"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.CAN.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Canada","Annual","Millions","256212.256538","309604.001291","356452.564116","353234.775076","349397.894619"
"IMF.STA:IMTS(1.0.0)","CAN.MG_FOB_USD.GBR.A","OBS_VALUE","Canada","Imports of goods, Free on board (FOB), US dollar","United Kingdom","Annual","Millions","5740.788366","6239.456563","6633.477357","6944.162743","6924.238102"
"IMF.STA:IMTS(1.0.0)","JPN.XG_FOB_USD.ITA.A","OBS_VALUE","Japan","Exports of goods, Free on board (FOB), US dollar","Italy","Annual","Millions","3763.495954","5004.542411","5312.475815","6060.180173","5055.900529"
"IMF.STA:IMTS(1.0.0)","CAN.TBG_USD.GBR.A","OBS_VALUE","Canada","Trade balance goods, US dollar","United Kingdom","Annual","Millions","8858.071229","6290.255075","6978.204272","3128.340192","13287.986216"
